Average Weekday Subway Ridership,,,,,,,,,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2016,2017,2018,2019,2020,2021,2020-2021 Change,,2021 Rank,,,,,,,,
"Franklin Av (2,3,4,5)/Botanic Garden (S)",,B,"15,834","15,269","14,581","15,412","5,743","6,534",791,13.8%,100,,,,,,,,
"Franklin Av (C,S)",,B,"6,289","6,333","6,358","6,234","2,391","2,624",233,9.8%,281,,,,,,,,
Fulton St (G),,B,"5,096","5,364","5,462","5,416","2,235","2,961",726,32.5%,251,,,,,,,,
"Gates Av (J,Z)",,B,"6,602","7,110","7,255","7,095","2,951","3,476",525,17.8%,220,,,,,,,,
Graham Av (L),,B,"10,483","10,536","9,959","9,346","3,434","4,518","1,085",31.6%,169,,,,,,,,
"Grand Army Plaza (2,3)",,B,"7,735","7,452","7,188","7,349","2,504","3,053",549,21.9%,246,,,,,,,,
Grand St (L),,B,"6,977","7,317","6,964","6,409","2,708","3,536",828,30.6%,215,,,,,,,,
Grant Av (A),,B,"7,044","6,318","5,896","5,710","2,586","2,715",129,5.0%,268,,,,,,,,
Greenpoint Av (G),,B,"9,413","9,648","9,509","10,006","4,113","5,296","1,183",28.7%,139,,,,,,,,
Halsey St (J),,B,"6,490","6,616","6,579","6,522","2,645","2,927",282,10.6%,253,,,,,,,,
Halsey St (L),,B,"8,426","8,781","8,386","7,391","3,279","4,042",763,23.3%,185,,,,,,,,
"Hewes St (J,M)",,B,"2,866","2,861","2,782","3,281","1,401","1,572",172,12.3%,362,,,,,,,,
"High St (A,C)",,B,"8,701","9,215","10,281","10,776","3,136","4,085",949,30.3%,183,,,,,,,,
"Hoyt St (2,3)",,B,"7,615","7,637","6,938","7,467","2,765","3,256",492,17.8%,234,,,,,,,,
"Hoyt-Schermerhorn Sts (A,C,G)",,B,"9,894","10,319","10,540","11,238","4,401","5,261",860,19.6%,140,,,,,,,,
"Jay St-MetroTech (A,C,F,R)",,B,"44,267","43,833","42,274","41,455","13,385","14,340",956,7.1%,26,,,,,,,,
Jefferson St (L),,B,"7,639","7,807","7,674","7,221","2,879","3,802",923,32.0%,194,,,,,,,,
Junius St (3),24,B,"2,230",970,"2,080","2,216","1,093","1,156",63,5.7%,398,,,,,,,,
"Kings Hwy (B,Q)",,B,"20,094","19,975","19,569","19,745","8,454","10,331","1,877",22.2%,53,,,,,,,,
Kings Hwy (F),,B,"4,637","5,186","4,567","3,724","1,708","1,864",155,9.1%,340,,,,,,,,
